Stratno | Stratigraphic Name | Reference Id | Usage No |   Usage  | Page Number | Minimum Age Name | Maximum Age Name | Reference Comments | Numerical Age | Parent Units | Constituents | Related Units | Lithology 
21228|Benagerie Volcanics|62592|5|Briefly described|p13, p18, p74.|Calymmian|Calymmian|Central Curnamona Province. Essentially unmetamorphosed. Coeval with Bimbowrie Suite.|c.1580 Ma.|Unit in Ninnerie Supersuite.||Overlies Willyama Supergroup.|
21228|Benagerie Volcanics|64741|5|Briefly described|p313, p314|Mesoproterozoic|Mesoproterozoic|Age: ~1580ma. Geological province: Mudguard Domain. Takes the form of flat-lying sheet of both felsic A-type and mafic composition. Sporadic Cu-Au mineralisation associated.|||||
21228|Benagerie Volcanics|65220|5|Briefly described|p19, 21|Calymmian|Calymmian|1581-/+4 Ma|||||
21228|Benagerie Volcanics|65925|5|Briefly described|p12.|Early Mesoproterozoic|Early Mesoproterozoic|Flat-lying unmetamorphosed felsic volcanic rocks. Compositionally similar to Gawler Range Volcanics.|||||
21228|Benagerie Volcanics|66518|6|Mentioned|p19 Fig.4, p22.|Mesoproterozoic|Mesoproterozoic|Curnamona Province. Overlies a thick sedimentary package resting above the Willyama Supergroup.|c.1580 Ma.||||
21228|Benagerie Volcanics|66520|5|Briefly described|p15-17.  |Mesoproterozoic|Mesoproterozoic|Curnamona Province. Distinctly elevated in Zr and TiO2.|||||Basalt.
21387|Burdunga Subgroup|44133|5|Briefly described|p178|Late Eocene|Middle Eocene||||||
21395|Burrawing Amphibolite|23492|6|Mentioned|p8 Fig. 3.||||||||
21395|Burrawing Amphibolite|23731|6|Mentioned|p21 Fig. 1.4||||||||
21395|Burrawing Amphibolite|61070|5|Briefly described|Map Legend|Paleoproterozoic|Paleoproterozoic|Of the Middleback Subgroup. Fine to medium-grained hornblende-plagioclase amphibolite , interbedded gradationally with banded diopside-hornblende-rich calcsilicate gneiss, with minor calcite, epidote and tremolite. Geological Province: Gawler Craton.|||||
21425|Camelback Member|23322|4|Described|957 Fig.2, p966|Miocene|Oligocene|Middle part of the Gambier Limestone.  Geological Province: Gambier Basin.|||||
21425|Camelback Member|44133|4|Described|p156|Early Miocene|Early Oligocene|Of the Gambier Limestone (Heytesbury Group). Geological Province: Gambier Basin. Thickness: 250m. Includes former Compton Conglomerate.|||||
21425|Camelback Member|50133|5|Briefly described|p3, p7, p9 Tb.1,  p11 Tb. 2|||Shown in tables as Gartners Calcarenite. Major & trace element geochemistry for 2 samples given||Of the Gambier Limestone|||Calcarenite limestone
